2022-04-19 22:11:26.571459: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library libcudart.so.10.1
Epoch 1. Train Loss: 1.547917, Train Acc: 0.514215, Time 00:00:04
Epoch 2. Train Loss: 1.004112, Train Acc: 0.648470, Time 00:00:03
Epoch 3. Train Loss: 0.855095, Train Acc: 0.704738, Time 00:00:03
Epoch 4. Train Loss: 0.769768, Train Acc: 0.737907, Time 00:00:03
Epoch 5. Train Loss: 0.707462, Train Acc: 0.756762, Time 00:00:03
Epoch 6. Train Loss: 0.670141, Train Acc: 0.767818, Time 00:00:03
Epoch 7. Train Loss: 0.620743, Train Acc: 0.782922, Time 00:00:03
Epoch 8. Train Loss: 0.584217, Train Acc: 0.799013, Time 00:00:03
Epoch 9. Train Loss: 0.554118, Train Acc: 0.810267, Time 00:00:03
Epoch 10. Train Loss: 0.540324, Train Acc: 0.816288, Time 00:00:03
Epoch 11. Train Loss: 0.522385, Train Acc: 0.822113, Time 00:00:03
Epoch 12. Train Loss: 0.498865, Train Acc: 0.829220, Time 00:00:03
Epoch 13. Train Loss: 0.479999, Train Acc: 0.832577, Time 00:00:03
Epoch 14. Train Loss: 0.469618, Train Acc: 0.841165, Time 00:00:03
Epoch 15. Train Loss: 0.455474, Train Acc: 0.845212, Time 00:00:03
Epoch 16. Train Loss: 0.434649, Train Acc: 0.850543, Time 00:00:03
Epoch 17. Train Loss: 0.430428, Train Acc: 0.853504, Time 00:00:03
Epoch 18. Train Loss: 0.413046, Train Acc: 0.857058, Time 00:00:03
Epoch 19. Train Loss: 0.416165, Train Acc: 0.856762, Time 00:00:03
Epoch 20. Train Loss: 0.397319, Train Acc: 0.859131, Time 00:00:03
Epoch 21. Train Loss: 0.397682, Train Acc: 0.862586, Time 00:00:03
Epoch 22. Train Loss: 0.384593, Train Acc: 0.871175, Time 00:00:03
Epoch 23. Train Loss: 0.381714, Train Acc: 0.866535, Time 00:00:03
Epoch 24. Train Loss: 0.361086, Train Acc: 0.878776, Time 00:00:03
Epoch 25. Train Loss: 0.350561, Train Acc: 0.881046, Time 00:00:03
Epoch 26. Train Loss: 0.359912, Train Acc: 0.875814, Time 00:00:03
Epoch 27. Train Loss: 0.342992, Train Acc: 0.884995, Time 00:00:03
Epoch 28. Train Loss: 0.323322, Train Acc: 0.891905, Time 00:00:03
Epoch 29. Train Loss: 0.334125, Train Acc: 0.884995, Time 00:00:03
Epoch 30. Train Loss: 0.324773, Train Acc: 0.891313, Time 00:00:03
Epoch 31. Train Loss: 0.314182, Train Acc: 0.894669, Time 00:00:03
Epoch 32. Train Loss: 0.311409, Train Acc: 0.894472, Time 00:00:03
Epoch 33. Train Loss: 0.298949, Train Acc: 0.898717, Time 00:00:03
Epoch 34. Train Loss: 0.303670, Train Acc: 0.896150, Time 00:00:03
Epoch 35. Train Loss: 0.295929, Train Acc: 0.896446, Time 00:00:03
Epoch 36. Train Loss: 0.300812, Train Acc: 0.896940, Time 00:00:03
Epoch 37. Train Loss: 0.296370, Train Acc: 0.899704, Time 00:00:03
Epoch 38. Train Loss: 0.273631, Train Acc: 0.907305, Time 00:00:03
Epoch 39. Train Loss: 0.277413, Train Acc: 0.903751, Time 00:00:03
Epoch 40. Train Loss: 0.278261, Train Acc: 0.906417, Time 00:00:03
Epoch 41. Train Loss: 0.263968, Train Acc: 0.910661, Time 00:00:03
Epoch 42. Train Loss: 0.268094, Train Acc: 0.908292, Time 00:00:03
Epoch 43. Train Loss: 0.277031, Train Acc: 0.905331, Time 00:00:03
Epoch 44. Train Loss: 0.257366, Train Acc: 0.911056, Time 00:00:03
Epoch 45. Train Loss: 0.253256, Train Acc: 0.913031, Time 00:00:03
Epoch 46. Train Loss: 0.239898, Train Acc: 0.923001, Time 00:00:03
Epoch 47. Train Loss: 0.233248, Train Acc: 0.920039, Time 00:00:03
Epoch 48. Train Loss: 0.243353, Train Acc: 0.915597, Time 00:00:03
Epoch 49. Train Loss: 0.243164, Train Acc: 0.915005, Time 00:00:03
Epoch 50. Train Loss: 0.223295, Train Acc: 0.925864, Time 00:00:03
Epoch 51. Train Loss: 0.227942, Train Acc: 0.920533, Time 00:00:03
Epoch 52. Train Loss: 0.225482, Train Acc: 0.926654, Time 00:00:03
Epoch 53. Train Loss: 0.226421, Train Acc: 0.924284, Time 00:00:03
Epoch 54. Train Loss: 0.223564, Train Acc: 0.924482, Time 00:00:03
Epoch 55. Train Loss: 0.219846, Train Acc: 0.925370, Time 00:00:03
Epoch 56. Train Loss: 0.220640, Train Acc: 0.925666, Time 00:00:03
Epoch 57. Train Loss: 0.221407, Train Acc: 0.925173, Time 00:00:03
Epoch 58. Train Loss: 0.207606, Train Acc: 0.928628, Time 00:00:03
Epoch 59. Train Loss: 0.211933, Train Acc: 0.930207, Time 00:00:03
Epoch 60. Train Loss: 0.202867, Train Acc: 0.930207, Time 00:00:03
Epoch 61. Train Loss: 0.203127, Train Acc: 0.927838, Time 00:00:03
Epoch 62. Train Loss: 0.198997, Train Acc: 0.935834, Time 00:00:03
Epoch 63. Train Loss: 0.201451, Train Acc: 0.932379, Time 00:00:03
Epoch 64. Train Loss: 0.199614, Train Acc: 0.930997, Time 00:00:03
Epoch 65. Train Loss: 0.191905, Train Acc: 0.936525, Time 00:00:03
Epoch 66. Train Loss: 0.191700, Train Acc: 0.934946, Time 00:00:03
Epoch 67. Train Loss: 0.180690, Train Acc: 0.941658, Time 00:00:03
Epoch 68. Train Loss: 0.187165, Train Acc: 0.935834, Time 00:00:03
Epoch 69. Train Loss: 0.188205, Train Acc: 0.938105, Time 00:00:03
Epoch 70. Train Loss: 0.175286, Train Acc: 0.940178, Time 00:00:03
Epoch 71. Train Loss: 0.178473, Train Acc: 0.940671, Time 00:00:03
Epoch 72. Train Loss: 0.179945, Train Acc: 0.938697, Time 00:00:03
Epoch 73. Train Loss: 0.169559, Train Acc: 0.945114, Time 00:00:03
Epoch 74. Train Loss: 0.163043, Train Acc: 0.945805, Time 00:00:03
Epoch 75. Train Loss: 0.164708, Train Acc: 0.947680, Time 00:00:03
Epoch 76. Train Loss: 0.173115, Train Acc: 0.945311, Time 00:00:03
Epoch 77. Train Loss: 0.180769, Train Acc: 0.940967, Time 00:00:03
Epoch 78. Train Loss: 0.161907, Train Acc: 0.948174, Time 00:00:03
Epoch 79. Train Loss: 0.165959, Train Acc: 0.943534, Time 00:00:03
Epoch 80. Train Loss: 0.156936, Train Acc: 0.948865, Time 00:00:03
Epoch 81. Train Loss: 0.161647, Train Acc: 0.947384, Time 00:00:03
Epoch 82. Train Loss: 0.160618, Train Acc: 0.946496, Time 00:00:03
Epoch 83. Train Loss: 0.153812, Train Acc: 0.949753, Time 00:00:03
Epoch 84. Train Loss: 0.162392, Train Acc: 0.944916, Time 00:00:03
Epoch 85. Train Loss: 0.149020, Train Acc: 0.950839, Time 00:00:03
Epoch 86. Train Loss: 0.154790, Train Acc: 0.951728, Time 00:00:03
Epoch 87. Train Loss: 0.144758, Train Acc: 0.953011, Time 00:00:03
Epoch 88. Train Loss: 0.147409, Train Acc: 0.952715, Time 00:00:03
Epoch 89. Train Loss: 0.147886, Train Acc: 0.952419, Time 00:00:03
Epoch 90. Train Loss: 0.139913, Train Acc: 0.954492, Time 00:00:03
Epoch 91. Train Loss: 0.147305, Train Acc: 0.950839, Time 00:00:03
Epoch 92. Train Loss: 0.137139, Train Acc: 0.956466, Time 00:00:03
Epoch 93. Train Loss: 0.142618, Train Acc: 0.954294, Time 00:00:03
Epoch 94. Train Loss: 0.144588, Train Acc: 0.951728, Time 00:00:03
Epoch 95. Train Loss: 0.133332, Train Acc: 0.956861, Time 00:00:03
Epoch 96. Train Loss: 0.136353, Train Acc: 0.955577, Time 00:00:03
Epoch 97. Train Loss: 0.132788, Train Acc: 0.958144, Time 00:00:03
Epoch 98. Train Loss: 0.130288, Train Acc: 0.960217, Time 00:00:03
Epoch 99. Train Loss: 0.131442, Train Acc: 0.958934, Time 00:00:03
Epoch 100. Train Loss: 0.127097, Train Acc: 0.958835, Time 00:00:03
Epoch 101. Train Loss: 0.125737, Train Acc: 0.959625, Time 00:00:03
Epoch 102. Train Loss: 0.116986, Train Acc: 0.964956, Time 00:00:03
Epoch 103. Train Loss: 0.129776, Train Acc: 0.957354, Time 00:00:03
Epoch 104. Train Loss: 0.121181, Train Acc: 0.962784, Time 00:00:03
Epoch 105. Train Loss: 0.117183, Train Acc: 0.963968, Time 00:00:03
Epoch 106. Train Loss: 0.125016, Train Acc: 0.962093, Time 00:00:03
Epoch 107. Train Loss: 0.125119, Train Acc: 0.959921, Time 00:00:03
Epoch 108. Train Loss: 0.126095, Train Acc: 0.960711, Time 00:00:03
Epoch 109. Train Loss: 0.110329, Train Acc: 0.966140, Time 00:00:03
Epoch 110. Train Loss: 0.109663, Train Acc: 0.967522, Time 00:00:03
Epoch 111. Train Loss: 0.119339, Train Acc: 0.963080, Time 00:00:03
Epoch 112. Train Loss: 0.107112, Train Acc: 0.967720, Time 00:00:03
Epoch 113. Train Loss: 0.108031, Train Acc: 0.967029, Time 00:00:03
Epoch 114. Train Loss: 0.117865, Train Acc: 0.962389, Time 00:00:03
Epoch 115. Train Loss: 0.107844, Train Acc: 0.967917, Time 00:00:03
Epoch 116. Train Loss: 0.105544, Train Acc: 0.969793, Time 00:00:03
Epoch 117. Train Loss: 0.103837, Train Acc: 0.968707, Time 00:00:03
Epoch 118. Train Loss: 0.105835, Train Acc: 0.967127, Time 00:00:03
Epoch 119. Train Loss: 0.112855, Train Acc: 0.966436, Time 00:00:03
Epoch 120. Train Loss: 0.105456, Train Acc: 0.967423, Time 00:00:03
Epoch 121. Train Loss: 0.096224, Train Acc: 0.973050, Time 00:00:03
Epoch 122. Train Loss: 0.101950, Train Acc: 0.969595, Time 00:00:03
Epoch 123. Train Loss: 0.101436, Train Acc: 0.971175, Time 00:00:03
Epoch 124. Train Loss: 0.095095, Train Acc: 0.973346, Time 00:00:03
Epoch 125. Train Loss: 0.097050, Train Acc: 0.971570, Time 00:00:03
Epoch 126. Train Loss: 0.099745, Train Acc: 0.970188, Time 00:00:03
Epoch 127. Train Loss: 0.101251, Train Acc: 0.970484, Time 00:00:03
Epoch 128. Train Loss: 0.099076, Train Acc: 0.971076, Time 00:00:03
Epoch 129. Train Loss: 0.097787, Train Acc: 0.971175, Time 00:00:03
Epoch 130. Train Loss: 0.090521, Train Acc: 0.975321, Time 00:00:03
